IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.20.66.39,4,4,0.00,191.58,0.00
104.27.103.122,4,4,0.00,191.63,0.00
104.19.165.241,4,4,0.00,191.68,0.00
172.65.182.93,4,4,0.00,191.77,0.00
104.16.108.89,4,4,0.00,191.86,0.00
104.20.240.36,4,4,0.00,192.01,0.00
104.27.205.56,4,4,0.00,192.03,0.00
104.16.155.36,4,4,0.00,192.08,0.00
104.18.240.229,4,4,0.00,192.12,0.00
172.66.208.115,4,4,0.00,192.18,0.00
104.25.102.110,4,4,0.00,192.40,0.00
104.24.170.212,4,4,0.00,192.45,0.00
172.65.82.112,4,4,0.00,192.54,0.00
104.24.34.96,4,4,0.00,192.65,0.00
172.66.164.65,4,4,0.00,192.65,0.00
104.20.180.69,4,4,0.00,192.66,0.00
172.64.68.86,4,4,0.00,192.72,0.00
172.64.79.197,4,4,0.00,192.73,0.00
104.18.167.146,4,4,0.00,192.75,0.00
172.67.61.100,4,4,0.00,192.80,0.00
104.24.87.129,4,4,0.00,192.84,0.00
104.27.106.249,4,4,0.00,192.89,0.00
104.22.37.80,4,4,0.00,192.91,0.00
172.64.148.138,4,4,0.00,192.99,0.00
104.26.12.18,4,4,0.00,193.01,0.00
172.65.7.234,4,4,0.00,193.05,0.00
104.21.123.39,4,4,0.00,193.05,0.00
172.67.223.170,4,4,0.00,193.06,0.00
104.24.29.138,4,4,0.00,193.24,0.00
104.25.205.44,4,4,0.00,193.35,0.00
162.159.1.250,4,4,0.00,193.35,0.00
104.17.113.201,4,4,0.00,193.37,0.00
172.66.142.142,4,4,0.00,193.55,0.00
104.18.95.195,4,4,0.00,193.69,0.00
172.65.38.93,4,4,0.00,194.00,0.00
104.22.33.245,4,4,0.00,194.22,0.00
104.27.59.201,4,4,0.00,194.25,0.00
104.18.177.188,4,4,0.00,194.33,0.00
104.25.185.156,4,4,0.00,194.38,0.00
104.16.109.128,4,4,0.00,194.40,0.00
172.66.201.74,4,4,0.00,194.41,0.00
104.22.5.243,4,4,0.00,194.54,0.00
172.67.118.74,4,4,0.00,194.62,0.00
104.23.106.117,4,4,0.00,194.64,0.00
104.25.147.102,4,4,0.00,194.67,0.00
172.66.150.70,4,4,0.00,194.69,0.00
104.17.187.30,4,4,0.00,194.72,0.00
172.64.91.109,4,4,0.00,194.76,0.00
104.25.250.12,4,4,0.00,194.81,0.00
104.20.197.129,4,4,0.00,194.84,0.00
104.20.249.64,4,4,0.00,194.86,0.00
104.24.220.41,4,4,0.00,194.90,0.00
162.159.140.26,4,4,0.00,194.93,0.00
172.67.40.145,4,4,0.00,195.02,0.00
104.20.52.136,4,4,0.00,195.03,0.00
172.67.222.152,4,4,0.00,195.04,0.00
172.65.110.149,4,4,0.00,195.07,0.00
104.24.17.178,4,4,0.00,195.14,0.00
172.65.170.227,4,4,0.00,195.15,0.00
104.25.68.243,4,4,0.00,195.17,0.00
104.24.7.186,4,4,0.00,195.25,0.00
172.67.191.189,4,4,0.00,195.32,0.00
172.64.94.84,4,4,0.00,195.34,0.00
104.24.50.17,4,4,0.00,195.43,0.00
172.65.3.153,4,4,0.00,195.45,0.00
172.66.198.147,4,4,0.00,195.60,0.00
104.24.72.89,4,4,0.00,195.63,0.00
104.21.60.97,4,4,0.00,195.66,0.00
172.65.190.51,4,4,0.00,195.72,0.00
104.20.30.22,4,4,0.00,195.85,0.00
104.21.219.250,4,4,0.00,195.89,0.00
172.67.251.194,4,4,0.00,195.97,0.00
172.67.218.248,4,4,0.00,195.98,0.00
104.27.21.128,4,4,0.00,196.01,0.00
172.65.34.150,4,4,0.00,196.11,0.00
104.16.247.194,4,4,0.00,196.39,0.00
104.21.216.61,4,4,0.00,196.39,0.00
104.24.167.4,4,4,0.00,196.41,0.00
172.64.85.213,4,4,0.00,196.61,0.00
104.18.247.108,4,4,0.00,196.69,0.00
172.66.205.251,4,4,0.00,196.71,0.00
104.16.34.90,4,4,0.00,196.74,0.00
104.20.146.122,4,4,0.00,196.85,0.00
104.25.71.89,4,4,0.00,196.96,0.00
172.66.193.110,4,4,0.00,196.97,0.00
172.65.4.12,4,4,0.00,197.02,0.00
104.27.17.47,4,4,0.00,197.03,0.00
104.27.121.70,4,4,0.00,197.03,0.00
104.17.158.152,4,4,0.00,197.04,0.00
172.67.211.143,4,4,0.00,197.05,0.00
104.21.126.205,4,4,0.00,197.19,0.00
162.159.141.102,4,4,0.00,197.25,0.00
104.25.86.136,4,4,0.00,197.27,0.00
104.21.120.203,4,4,0.00,197.28,0.00
104.24.141.252,4,4,0.00,197.38,0.00
172.65.6.140,4,4,0.00,197.39,0.00
172.65.186.171,4,4,0.00,197.39,0.00
104.23.124.191,4,4,0.00,197.43,0.00
104.25.122.194,4,4,0.00,197.45,0.00
172.67.4.207,4,4,0.00,197.48,0.00
104.24.93.152,4,4,0.00,197.58,0.00
104.21.49.61,4,4,0.00,197.60,0.00
104.25.164.70,4,4,0.00,197.61,0.00
172.66.196.194,4,4,0.00,197.62,0.00
198.41.218.39,4,4,0.00,197.62,0.00
104.24.22.81,4,4,0.00,197.65,0.00
104.21.58.155,4,4,0.00,197.67,0.00
104.25.253.93,4,4,0.00,197.71,0.00
104.20.238.131,4,4,0.00,198.05,0.00
172.66.154.200,4,4,0.00,198.08,0.00
172.67.83.197,4,4,0.00,198.09,0.00
104.21.193.117,4,4,0.00,198.10,0.00
104.19.186.160,4,4,0.00,198.15,0.00
104.25.158.232,4,4,0.00,198.16,0.00
104.20.135.20,4,4,0.00,198.18,0.00
172.65.54.36,4,4,0.00,198.19,0.00
172.65.43.194,4,4,0.00,198.19,0.00
172.67.200.161,4,4,0.00,198.22,0.00
104.21.53.60,4,4,0.00,198.24,0.00
172.65.120.170,4,4,0.00,198.36,0.00
172.65.48.228,4,4,0.00,198.37,0.00
104.27.3.73,4,4,0.00,198.41,0.00
104.16.143.27,4,4,0.00,198.44,0.00
172.67.121.45,4,4,0.00,198.49,0.00
104.25.161.22,4,4,0.00,198.53,0.00
162.159.26.82,4,4,0.00,198.59,0.00
104.27.4.188,4,4,0.00,198.63,0.00
172.67.185.18,4,4,0.00,198.65,0.00
172.65.2.56,4,4,0.00,198.70,0.00
104.16.33.76,4,4,0.00,198.71,0.00
104.20.58.61,4,4,0.00,198.73,0.00
104.21.56.34,4,4,0.00,198.74,0.00
104.17.222.115,4,4,0.00,198.75,0.00
104.20.235.33,4,4,0.00,198.78,0.00
104.21.48.27,4,4,0.00,198.89,0.00
104.21.27.120,4,4,0.00,198.96,0.00
104.25.236.220,4,4,0.00,199.02,0.00
104.24.23.23,4,4,0.00,199.12,0.00
198.41.202.119,4,4,0.00,199.16,0.00
104.20.53.235,4,4,0.00,199.21,0.00
172.67.85.221,4,4,0.00,199.34,0.00
104.20.162.138,4,4,0.00,199.37,0.00
104.27.115.146,4,4,0.00,199.40,0.00
104.25.80.78,4,4,0.00,199.43,0.00
172.67.6.4,4,4,0.00,199.46,0.00
172.65.126.27,4,4,0.00,199.57,0.00
104.21.104.188,4,4,0.00,199.59,0.00
172.65.35.248,4,4,0.00,199.63,0.00
172.65.109.206,4,4,0.00,199.67,0.00
172.67.206.132,4,4,0.00,199.70,0.00
104.21.47.21,4,4,0.00,199.71,0.00
172.65.16.149,4,4,0.00,199.82,0.00
104.19.164.25,4,4,0.00,199.93,0.00
172.67.5.203,4,4,0.00,199.98,0.00
104.16.39.220,4,4,0.00,200.08,0.00
172.65.10.126,4,4,0.00,200.10,0.00
172.65.46.137,4,4,0.00,200.20,0.00
104.18.186.244,4,4,0.00,200.26,0.00
104.20.228.113,4,4,0.00,200.29,0.00
104.21.26.18,4,4,0.00,200.31,0.00
172.65.155.94,4,4,0.00,200.34,0.00
172.67.179.88,4,4,0.00,200.35,0.00
198.41.215.28,4,4,0.00,200.40,0.00
104.25.31.46,4,4,0.00,200.46,0.00
104.16.240.177,4,4,0.00,200.52,0.00
172.65.59.221,4,4,0.00,200.53,0.00
172.65.40.24,4,4,0.00,200.56,0.00
172.66.145.133,4,4,0.00,200.63,0.00
172.67.72.176,4,4,0.00,200.75,0.00
172.67.192.62,4,4,0.00,200.92,0.00
172.67.220.184,4,4,0.00,200.96,0.00
172.67.197.37,4,4,0.00,200.97,0.00
104.17.59.193,4,4,0.00,200.98,0.00
172.66.132.36,4,4,0.00,201.04,0.00
104.17.71.39,4,4,0.00,201.15,0.00
198.41.204.93,4,4,0.00,201.18,0.00
198.41.212.170,4,4,0.00,201.18,0.00
172.66.204.254,4,4,0.00,201.21,0.00
104.21.89.174,4,4,0.00,201.23,0.00
104.20.198.203,4,4,0.00,201.24,0.00
172.65.11.241,4,4,0.00,201.41,0.00
104.21.121.240,4,4,0.00,201.41,0.00
172.67.253.186,4,4,0.00,201.43,0.00
104.27.203.24,4,4,0.00,201.49,0.00
172.67.80.187,4,4,0.00,201.50,0.00
172.65.78.248,4,4,0.00,201.54,0.00
172.64.97.151,4,4,0.00,201.54,0.00
172.65.44.218,4,4,0.00,201.54,0.00
104.21.0.139,4,4,0.00,201.60,0.00
104.24.24.63,4,4,0.00,201.70,0.00
104.27.5.221,4,4,0.00,201.88,0.00
172.67.8.216,4,4,0.00,201.88,0.00
104.16.24.15,4,4,0.00,201.91,0.00
104.22.48.45,4,4,0.00,202.09,0.00
104.21.7.77,4,4,0.00,202.27,0.00
104.25.66.76,4,4,0.00,202.28,0.00
172.65.76.194,4,4,0.00,202.33,0.00
104.21.74.62,4,4,0.00,202.41,0.00
104.24.18.159,4,4,0.00,202.43,0.00
104.27.87.27,4,4,0.00,202.44,0.00
172.66.160.150,4,4,0.00,202.44,0.00
104.20.60.125,4,4,0.00,202.47,0.00
104.16.10.186,4,4,0.00,202.50,0.00
172.67.210.67,4,4,0.00,202.65,0.00
104.26.8.55,4,4,0.00,202.79,0.00
104.16.6.236,4,4,0.00,202.79,0.00
104.21.86.192,4,4,0.00,202.83,0.00
172.65.168.64,4,4,0.00,202.85,0.00
104.21.52.253,4,4,0.00,202.88,0.00
172.66.200.209,4,4,0.00,202.92,0.00
104.21.78.195,4,4,0.00,203.04,0.00
172.67.9.43,4,4,0.00,203.04,0.00
104.25.58.39,4,4,0.00,203.07,0.00
172.65.71.34,4,4,0.00,203.08,0.00
104.27.50.32,4,4,0.00,203.13,0.00
104.21.57.77,4,4,0.00,203.14,0.00
104.24.10.36,4,4,0.00,203.15,0.00
172.67.147.56,4,4,0.00,203.24,0.00
172.67.255.109,4,4,0.00,203.30,0.00
104.22.35.221,4,4,0.00,203.31,0.00
104.21.73.210,4,4,0.00,203.39,0.00
172.67.183.98,4,4,0.00,203.48,0.00
104.21.61.226,4,4,0.00,203.53,0.00
104.24.35.75,4,4,0.00,203.54,0.00
104.24.128.126,4,4,0.00,203.57,0.00
162.159.27.68,4,4,0.00,203.57,0.00
104.24.45.199,4,4,0.00,203.77,0.00
104.21.1.141,4,4,0.00,203.79,0.00
104.21.69.152,4,4,0.00,203.86,0.00
104.20.188.200,4,4,0.00,203.87,0.00
104.16.73.56,4,4,0.00,203.95,0.00
104.17.29.174,4,4,0.00,203.95,0.00
104.24.223.143,4,4,0.00,204.06,0.00
172.65.8.75,4,4,0.00,204.08,0.00
